# Samples Generated by Stan
# stan_version_major=2
# stan_version_minor=1
# stan_version_patch=0
# init=random
# seed=385583929
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=./diagnostic_file.dat_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,alpha,beta,p_alpha,p_beta,g_alpha,g_beta
-84.9304,0.886373,0.204625,1,0,-5.22069,-2.72399,2.19566,1.0959,-4.93149,-2.241
-85.1469,0.967589,0.244644,1,0,-4.75622,-2.74269,0.176828,0.4469,6.77128,2.51569
-85.115,0.849121,0.339762,2,0,-4.94206,-2.35316,0.527802,-1.51525,5.07866,3.42981
-86.4003,0.347277,0.377617,0,0,-5.51651,-2.45357,0.078878,-0.0161765,-8.47486,-1.32261
-86.6833,0.994941,0.165806,1,0,-5.55676,-2.39064,0.487592,0.439844,-8.80971,-0.727177
-86.7512,1,0.241508,0,0,-5.53336,-2.14125,-0.996283,-0.681997,-7.44814,2.9036
-85.954,1,0.353916,0,0,-5.31006,-2.04928,1.12654,-0.645843,-2.80061,5.11818
-85.502,0.516892,0.516977,0,0,-5.36377,-2.60399,1.64236,-0.523728,-6.7556,-2.12486
-84.5353,0.348268,1.25099,0,0,-5.02147,-2.87643,-6.27398,0.311746,-2.09138,-1.69544
-84.5353,0,5.50245,-1,1,-5.02147,-2.87643,-9.46025,2.62871,-2.09138,-1.69544
-84.5353,0.862216,0.654531,1,0,-5.02147,-2.87643,1.64049,3.5118,-2.09138,-1.69544
-85.8608,0.959308,0.525623,2,0,-4.28137,-3.64355,-1.63291,2.56897,5.43864,2.615
-86.0872,0.926996,0.65907,1,0,-4.16597,-4.17246,0.22988,-2.75183,-2.49121,-3.06399
-85.6405,1,0.846766,1,0,-4.32623,-3.64778,-3.97812,1.32097,3.99578,1.58793
-85.6405,9.03954e-11,1.45265,0,0,-4.32623,-3.64778,8.07898,2.62954,3.99578,1.58793
-85.7766,0.998303,0.1162,2,0,-4.33419,-3.5638,-1.22658,2.00442,5.54444,2.54734
-84.4394,0.999969,0.207131,3,0,-5.03132,-2.79583,-3.05824,4.45414,-1.46736,-1.11843
-84.6448,0.990663,0.38184,1,0,-5.15577,-2.71882,-1.7131,1.27179,-3.54035,-1.639
-84.4791,0.834372,0.694426,1,0,-5.02438,-2.50512,4.65895,3.23942,1.48047,1.40294
-84.4642,0.998798,0.776609,0,0,-5.07358,-2.48128,1.30379,0.276416,0.396618,1.21008
-84.4642,2.60589e-05,1.46462,0,0,-5.07358,-2.48128,-2.27983,-4.85227,0.396618,1.21008
-84.4997,0.999363,0.120387,4,0,-4.87416,-2.83122,1.11213,-2.28905,2.14139,0.373061
-84.6406,0.997241,0.229942,3,0,-4.86551,-2.70438,-1.63403,0.239579,3.90538,1.42602
-85.0835,0.925707,0.434483,1,0,-5.17645,-2.8643,-5.02925,-0.230358,-5.28247,-3.14099
-84.489,0.946079,0.654731,0,0,-5.07275,-2.4625,2.68888,3.41141,0.566574,1.39112
-85.2542,0.797106,1.04545,2,0,-4.85047,-3.32646,-2.69536,0.677541,-3.80869,-3.68663
-85.2542,0.548517,1.05647,0,0,-4.85047,-3.32646,4.50275,1.92705,-3.80869,-3.68663
-85.2542,0.953308,0.505999,0,0,-4.85047,-3.32646,2.28533,1.24554,-3.80869,-3.68663
-86.1473,0.617347,0.820556,1,0,-5.211,-3.06316,-6.78745,0.0842396,-7.78397,-5.29555
-84.6767,0.854221,0.489186,1,0,-5.12155,-2.80142,-7.12382,-5.29104,-3.56091,-2.0626
-84.4602,1,0.589392,1,0,-4.91906,-2.72075,-2.91243,-0.557245,2.20488,0.693999
-86.665,0.204653,1.08182,0,0,-4.77045,-2.31246,-3.52123,-0.446615,11.1189,5.22201
-86.7269,0.998255,0.198672,1,0,-4.80719,-2.22751,3.85636,-0.227813,10.5062,5.61838
-86.9255,0.982198,0.362664,0,0,-4.78389,-2.23722,0.877513,1.20547,11.2699,5.71703
-84.511,0.9883,0.626274,0,0,-5.0171,-2.4917,-7.31873,-3.05591,1.79003,1.58271
-84.6479,0.945878,1.09018,1,0,-5.21245,-2.46403,2.06904,0.226817,-2.77913,0.350196
-84.6479,0.0344355,1.67068,0,0,-5.21245,-2.46403,-1.70594,-1.3683,-2.77913,0.350196
-84.6894,0.994311,0.205139,3,0,-4.84283,-2.73424,0.743172,3.15657,4.2161,1.47837
-84.4864,0.977293,0.361435,2,0,-4.95905,-2.59681,5.6466,1.25245,2.40617,1.24002
-84.4098,0.996131,0.602383,1,0,-4.93653,-2.78237,0.363972,-1.94631,1.04411,0.0179355
-84.4098,0.483047,1.04739,0,0,-4.93653,-2.78237,0.9666,-4.84566,1.04411,0.0179355
-85.3566,0.858201,0.458204,0,0,-4.77678,-2.61466,4.5596,1.59751,7.71705,3.09314
-85.7446,0.926476,0.549018,0,0,-4.76096,-2.54029,-1.9808,-0.177651,9.12066,3.75661
-84.7722,0.982408,0.784878,1,0,-4.7279,-3.09179,0.256836,4.54232,2.60205,0.29281
-84.7722,0.039098,1.29096,0,0,-4.7279,-3.09179,-3.25887,-1.63615,2.60205,0.29281
-84.8757,0.985267,0.183328,3,0,-5.04481,-2.99287,0.578915,3.70927,-3.87899,-2.96233
-85.7629,0.993877,0.304787,2,0,-4.48992,-3.21888,-2.13653,0.845317,7.65165,3.25422
-85.3375,1,0.513907,1,0,-4.60765,-3.57015,2.53776,1.74477,-1.98131,-2.68284
-84.6922,0.922366,0.873054,1,0,-4.8166,-2.81173,-2.65485,3.5852,4.01816,1.24454
-84.6922,0.556599,1.2108,0,0,-4.8166,-2.81173,5.12223,-1.26425,4.01816,1.24454
-85.3199,0.826739,0.671481,0,0,-4.75017,-2.69493,0.753926,-0.120102,7.59296,2.90692
-84.6681,1,0.732801,0,0,-4.86156,-2.69652,-4.26546,-0.57398,4.11223,1.52917
-84.6681,0.0833888,1.2224,0,0,-4.86156,-2.69652,4.76031,2.80148,4.11223,1.52917
-85.1618,0.990335,0.216371,3,0,-5.11871,-2.97729,1.60721,2.10832,-5.23502,-3.60213
-86.7601,0.916121,0.352995,1,0,-5.27822,-3.07185,6.61612,0.630701,-8.97654,-5.99041
-85.583,0.998265,0.478415,1,0,-5.2111,-2.08883,3.918,4.02908,-0.667453,4.90488
